,token_lower,count_nusc,percentage_of_all_tokens_nusc,count_uoe,percentage_of_all_tokens_uoe
1351,shed,1,5.220923372507662e-05,2,0.00036857187612299245
886,leg,1,5.220923372507662e-05,2,0.00036857187612299245
199,allied,1,5.220923372507662e-05,2,0.00036857187612299245
828,intelligent,1,5.220923372507662e-05,2,0.00036857187612299245
653,foot,1,5.220923372507662e-05,2,0.00036857187612299245
1378,sky,3,0.00015662770117522986,2,0.00036857187612299245
1457,sweet,1,5.220923372507662e-05,2,0.00036857187612299245
174,accomplished,3,0.00015662770117522986,2,0.00036857187612299245
676,frequent,3,0.00015662770117522986,2,0.00036857187612299245
617,familiar,3,0.00015662770117522986,2,0.00036857187612299245
1438,sufficient,3,0.00015662770117522986,2,0.00036857187612299245
467,deceased,4,0.00020883693490030648,2,0.00036857187612299245
360,civic,3,0.00015662770117522986,2,0.00036857187612299245
587,evening,4,0.00020883693490030648,2,0.00036857187612299245
440,covering,4,0.00020883693490030648,2,0.00036857187612299245
1169,postgraduate,3,0.00015662770117522986,2,0.00036857187612299245
1244,rational,3,0.00015662770117522986,2,0.00036857187612299245
1443,supernatural,4,0.00020883693490030648,2,0.00036857187612299245
394,compact,4,0.00020883693490030648,2,0.00036857187612299245
233,archaic,1,5.220923372507662e-05,2,0.00036857187612299245
1616,wax,3,0.00015662770117522986,2,0.00036857187612299245
191,adverse,3,0.00015662770117522986,2,0.00036857187612299245
620,fascinating,3,0.00015662770117522986,2,0.00036857187612299245
1514,triangular,3,0.00015662770117522986,2,0.00036857187612299245
1470,telegram,1,5.220923372507662e-05,2,0.00036857187612299245
1105,pale,1,5.220923372507662e-05,2,0.00036857187612299245
424,continental,1,5.220923372507662e-05,2,0.00036857187612299245
292,bodleian,1,5.220923372507662e-05,2,0.00036857187612299245
1228,punch,1,5.220923372507662e-05,2,0.00036857187612299245
1089,ossian,1,5.220923372507662e-05,2,0.00036857187612299245
195,affectionate,1,5.220923372507662e-05,2,0.00036857187612299245
1519,twelve,1,5.220923372507662e-05,2,0.00036857187612299245
325,cardiac,1,5.220923372507662e-05,2,0.00036857187612299245
877,layered,1,5.220923372507662e-05,2,0.00036857187612299245
203,ambitious,3,0.00015662770117522986,2,0.00036857187612299245
1265,registered,3,0.00015662770117522986,2,0.00036857187612299245
206,amongst,3,0.00015662770117522986,2,0.00036857187612299245
256,attractive,3,0.00015662770117522986,2,0.00036857187612299245
243,arterial,1,5.220923372507662e-05,2,0.00036857187612299245
1092,outer,3,0.00015662770117522986,2,0.00036857187612299245
799,inclusive,4,0.00020883693490030648,2,0.00036857187612299245
970,microscopical,1,5.220923372507662e-05,2,0.00036857187612299245
580,eric,2,0.00010441846745015324,2,0.00036857187612299245
829,interactive,2,0.00010441846745015324,2,0.00036857187612299245
938,malawian,4,0.00020883693490030648,2,0.00036857187612299245
985,moderate,1,5.220923372507662e-05,2,0.00036857187612299245
321,capable,1,5.220923372507662e-05,2,0.00036857187612299245
1392,solid,2,0.00010441846745015324,2,0.00036857187612299245
322,capital,1,5.220923372507662e-05,2,0.00036857187612299245
678,friend,1,5.220923372507662e-05,2,0.00036857187612299245
702,genuine,1,5.220923372507662e-05,2,0.00036857187612299245
1649,zoological,4,0.00020883693490030648,2,0.00036857187612299245
204,amble,1,5.220923372507662e-05,2,0.00036857187612299245
534,easy,4,0.00020883693490030648,2,0.00036857187612299245
1330,sectional,2,0.00010441846745015324,2,0.00036857187612299245
1379,skylight,1,5.220923372507662e-05,2,0.00036857187612299245
1154,polar,2312,0.12070774837237713,2,0.00036857187612299245
505,distinctive,1806,0.09428987610748837,2,0.00036857187612299245
194,aesthetic,1798,0.09387220223768776,2,0.00036857187612299245
1319,scholarly,1797,0.09381999300396268,2,0.00036857187612299245
316,c,1,5.220923372507662e-05,2,0.00036857187612299245
824,instrumental,4,0.00020883693490030648,2,0.00036857187612299245
1477,territorial,4,0.00020883693490030648,2,0.00036857187612299245
1510,transverse,1,5.220923372507662e-05,2,0.00036857187612299245
