description_id,eadid,field,rowid,adj_count,adv_count
77841,TF,scopecontent,TF-04728,1.0,0.0
77843,TF,scopecontent,TF-04729,1.0,0.0
77844,TF,unittitle,TF-04729,1.0,0.0
77845,TF,scopecontent,TF-04730,1.0,0.0
77847,TF,scopecontent,TF-04731,1.0,0.0
77851,TF,scopecontent,TF-04733,2.0,1.0
77852,TF,unittitle,TF-04733,1.0,0.0
77853,TF,scopecontent,TF-04734,6.0,0.0
77854,TF,unittitle,TF-04734,1.0,0.0
77855,TF,scopecontent,TF-04735,11.0,5.0
77856,TF,unittitle,TF-04735,1.0,0.0
77858,TF,unittitle,TF-04737,1.0,0.0
77865,TF,unittitle,TF-04742,1.0,0.0
77870,TF,scopecontent,TF-04745,1.0,0.0
77874,TF,scopecontent,TF-04747,1.0,0.0
77878,TF,scopecontent,TF-04749,2.0,0.0
77879,TF,unittitle,TF-04749,1.0,0.0
77880,TF,scopecontent,TF-04750,1.0,0.0
77882,TF,scopecontent,TF-04751,1.0,0.0
77884,TF,scopecontent,TF-04752,1.0,0.0
77890,TF,scopecontent,TF-04755,1.0,0.0
77891,TF,unittitle,TF-04755,1.0,0.0
77897,TF,unittitle,TF-04758,1.0,0.0
77899,TF,unittitle,TF-04759,1.0,0.0
77901,TF,unittitle,TF-04760,1.0,0.0
77902,TF,scopecontent,TF-04761,5.0,0.0
77903,TF,unittitle,TF-04761,1.0,0.0
77922,TF,scopecontent,TF-04771,0.0,1.0
77926,TF,scopecontent,TF-04773,0.0,1.0
77930,TF,scopecontent,TF-04775,0.0,1.0
77931,TF,unittitle,TF-04775,1.0,0.0
77936,TF,scopecontent,TF-04778,1.0,0.0
77937,TF,unittitle,TF-04778,1.0,0.0
77956,TF,scopecontent,TF-04788,1.0,0.0
77964,TF,scopecontent,TF-04792,3.0,0.0
77966,TF,scopecontent,TF-04793,1.0,0.0
77968,TF,scopecontent,TF-04794,2.0,0.0
77975,TF,scopecontent,TF-04800,7.0,0.0
77977,TF,scopecontent,TF-04801,4.0,1.0
