token_lower,count
territorial,4
soldier,4
tenth,4
unordered,4
grid,4
7-13,4
clinic,4
re-run,4
logical,4
cleaner,4
"""'special""",4
6-9,4
long-term,4
non-profit,4
virtual,4
loved,4
returned,4
hall,4
tea,4
child,4
cheaper,4
cervical,4
page,4
viable,4
souvenir,4
processional,4
sketch,4
organisational,4
stair,4
architect,4
snow,4
elevation,4
jejunogastric,4
finnish,4
reviews,4
1578-1657,4
second-hand,4
agreed,4
2005-2009,4
physician,4
14-15,4
alchemical,4
seminal,4
"""'war""",4
peaceful,4
1624-1689,4
floral,4
east-based,4
elementary,4
"""'first""",4
riverside,4
short-lived,4
eighth,4
"""'we""",4
labelled,4
un,4
paying-in,4
"""'political""",4
topographical,4
eclectic,4
ecclesiastical,4
easy,4
refurbishment,4
er,4
multi-storeyed,4
1-10,4
favourable,4
2004-2007,4
on-going,4
rejected,4
adopted,4
false,4
fabric,4
turkish,4
twenty,4
selected,4
fifty,4
item,4
true,4
world-wide,4
experienced,4
expensive,4
itinerary,4
expanded,4
exhaust,4
worth,4
excellent,4
exams,4
"""'temporary""",4
event,4
evening,4
ethical,4
estuary,4
omnibus,4
est,4
laminated,4
"""'medical""",4
landscaped,4
underlying,4
remote,4
acknowledgement,4
witton-le-wear,4
diverse,4
und,4
networking,4
framed,4
script,4
instrumental,4
smoke-free,4
latter,4
recognised,4
detail,4
zoological,4
derelict,4
thirteen,4
2000-2004,4
frontal,4
window,4
least,4
deceased,4
lecture,4
day-to-day,4
year,4
fragile,4
amended,4
"""'plowden""",4
bilingual,4
earliest,4
large-scale,4
witty,4
amateur,4
ski,3
recognisable,3
registered,3
metal,3
70th,3
x-ray,3
attractive,3
request,3
anonymous,3
member-only,3
witness,3
artist,3
workshops,3
assistant,3
annex,3
acute,3
afraid,3
muddled,3
30-year,3
aligned,3
access,3
qualitative,3
accepted,3
multi-storey,3
approved,3
mock-ups,3
3-4,3
mobile,3
smokefree,3
amongst,3
75th,3
3-8,3
adverse,3
mixed-use,3
bi-monthly,3
assorted,3
ministerial,3
84-115,3
racial,3
nephew,3
sky,3
mine,3
accomplished,3
accurate,3
5-8,3
re-rehearsal,3
rational,3
60th,3
raw,3
re-elected,3
resident,3
re-establishing,3
mild,3
address,3
re-glazing,3
african-american,3
written,3
balsa,3
44802,3
assessment,3
wide-ranging,3
angry,3
bavarian,3
minimal,3
round-up,3
multinational,3
appraisal,3
5-18,3
reverse,3
ritual,3
ambitious,3
barbican,3
works,3
biggest,3
pregnant,3
biographic,3
sub-soil,3
fascinating,3
fashionable,3
semi-circular,3
feature,3
twentieth-century,3
film-poem,3
triangular,3
finish,3
firm,3
travel,3
five-point,3
pure,3
submitted,3
flower,3
follow-up,3
pdf,3
intended,3
toast,3
tiny,3
forty-six,3
pavement,3
intellectual,3
self-contained,3
familiar,3
sub-number,3
extreme,3
korean,3
just,3
physiological,3
elevational,3
uk-wide,3
embossed,3
strongest,3
typographical,3
enhanced,3
entitled_,3
entrance,3
epidemiological,3
episodes,3
equal,3
equitable,3
essay,3
jan-may,3
exact,3
exam,3
itinerant,3
pharmaceutical,3
four-part,3
online,3
fox,3
tennis,3
ordered,3
h-project,3
hadrian,3
hand-painted,3
taught,3
paediatrician,3
harmful,3
harrovian,3
hazardous,3
heal,3
heaven,3
ornithological,3
overhead,3
shaded,3
symbolic,3
imagined,3
sexy,3
horizontal,3
out-patient,3
outer,3
swedish-norwegian,3
paginated,3
ground-breaking,3
franco-prussian,3
gross,3
